scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
600436,016024,10001278,片仔癀,医药制造,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,95188986.37,593069218.79,465878230.89,0.124608651151327,375030152.03,0.110693693680669,45100287.49,39009137.54,1783333.58,147153976.42,148192474.37,51792183.44,-,-,-,-,-,4127401.07,-,-,-,-,-,-,-,-,0.117934,0.171673,0.188936,85125298.12,0.1383113021,2014/1/22 19:23:51,375030152.03
600170,016005,10000133,上海建工,工程建设,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,300839549.0,25220940513.0,25062217895.0,0.202579049806744,23870772835.0,0.208384334800965,-,472396159.0,2552694.0,259772263.0,339465725.0,38101173.0,-,-,-,-,-,720681127.0,-,-,-,-,-,-,-,-,0.189745,0.042804,0.17264,195455750.0,-0.0315138351,2014/1/22 19:23:47,23870772835.0
002269,016010,80121959,美邦服饰,纺织服装,001,001,2,zxb,2009-03-27T00:00:00,2007-12-31T00:00:00,363991332.0,3156516825.0,2727921963.0,0.441241516878808,1930475321.0,0.355417188599938,602888915.0,154974904.0,22462980.0,428594862.0,432519295.0,68869994.0,-,-,-,-,-,14393453.0,-,-,-,-,-,-,-,-,0.591236,3.71342,4.365053,277258946.0,1.8065330459,2014/1/22 19:23:54,1930475321.0
600006,016035,10000006,东风汽车,汽车行业,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,479010536.6,10829217523.6,10667921854.01,0.0619816709640219,9300804752.84,0.0457000669509588,691029166.02,470951362.32,-30177305.22,606458636.7,613334028.11,41391945.09,-,-,-,-,-,200684899.88,-,-,-,-,-,-,-,-,0.26547,0.085606,0.006211,353224491.03,0.3419327615,2014/1/22 19:23:48,9300804752.84
600789,016024,10000738,鲁抗医药,医药制造,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,21626861.16,1575488246.52,1560517862.41,0.22908956518308,1262571306.4,0.223233193886462,126268866.45,93393172.73,38855856.73,21947880.25,22834356.14,-498645.83,-,-,-,-,-,9069899.85,-,-,-,-,-,-,-,-,0.248749,1.288417,1.269177,24035307.12,1.2827249239,2014/1/22 19:23:47,1262571306.4
600658,016017,10000465,电子城,房地产,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,5762992.98,414184412.05,420896392.73,-0.251922152107551,340187971.09,-0.254616679627249,23912430.39,43052565.45,7969868.86,2702990.84,8027603.67,660325.75,-,-,-,-,-,2773094.52,-,-,-,-,-,-,-,-,-0.174869,1.044241,1.098149,86540233.92,0.8017973687,2014/1/22 19:23:54,340187971.09
600219,016032,10000177,南山铝业,有色金属,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,1148989052.78,6571795414.38,4962329406.86,1.42395402830873,4709749495.02,1.45862132971315,101640532.14,58014012.55,40555075.68,1609466007.52,1595283165.87,237888983.22,-,-,-,-,-,41514955.46,-,-,-,-,-,-,-,-,1.814379,4.590867,5.435889,1158491556.69,5.2494206398,2014/1/22 19:23:48,4709749495.02
002030,016024,10001420,达安基因,医药制造,001,001,2,zxb,2009-03-27T00:00:00,2007-12-31T00:00:00,35036366.91,207275582.57,168868352.52,0.232448977041266,83125693.77,0.126458834831416,37197594.72,40396799.58,2372092.63,39677560.48,42958307.63,8754056.21,-,-,-,-,-,3754202.33,-,-,-,-,-,-,-,-,0.200486,0.135337,0.219001,29993451.56,0.530264441,2014/1/22 20:04:03,83125693.77
000709,016033,10001026,河钢股份,钢铁行业,001,001,2,szzb,2009-03-27T00:00:00,2007-12-31T00:00:00,2144943803.8,41792335168.68,38732625658.21,0.37300218836241,36967333337.97,0.382231237353713,113336907.87,1058479196.62,463174280.96,3051498248.71,3164625965.99,738575055.29,-,-,-,-,-,144688282.35,-,-,-,-,-,-,-,-,0.38452,0.536757,0.509198,3605864405.86,0.4252901104,2014/1/22 19:23:50,36967333337.97
600707,016022,10000514,彩虹股份,电子元件,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,-28433627.98,1705696095.72,1760035875.07,-0.117788624963679,1615891926.49,-0.129955543689401,75909007.24,36753935.6,19948968.22,-28948650.49,-27201834.79,284285.63,-,-,-,-,-,2232631.05,-,-,-,-,-,-,-,-,-0.174812,-2.877368,-2.839926,-58353331.28,-9.4089778417,2014/1/22 19:23:51,1615891926.49
600497,016032,10001357,驰宏锌锗,有色金属,001,001,2,shzb,2009-03-27T00:00:00,2007-12-31T00:00:00,1317117974.88,6110667512.46,4586483431.58,0.354075349742155,3991704016.31,0.337381473425375,115567883.6,260808322.04,80905177.06,1524351890.14,1508501427.27,193119386.1,-,-,-,-,-,48555010.7,-,-,-,-,-,-,-,-,0.357287,0.361731,0.263319,1273940160.64,0.3758421723,2014/1/22 19:23:47,3991704016.31
